"USER_CODE";"USER_NAME";"REG_NO";"START_DATE";"END_DATE";"ADDRESS";"WEARH_ADDRESS";"SALES_PLACE";"LICENCE_TYPE";"DRINKS";"SALE_DAYS";"SALES_START";"SALES_END";"SALE_DAYS_ADDITIONAL";"SALE_START_ADDITIONAL";"SALE_END_ADDITIONAL";"X_KOORD";"Y_KOORD";"WGS_ILGUMA";"WGS_PLATUMA";"STREET_ID";"HOUSE_NR";"SENIUN_NR"
"121148416";"VILEIŠIS IR KO";"043K00";"2001-01-30";;"Rinktinės - Turgaus g. sankirtoje";"Rinktinės - Turgaus g. sankirtoje";"Kioskas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
"121148416";"VILEIŠIS IR KO";"044K00";"2001-01-30";;"Antakalnio g. 44";"Antakalnio g. 44";"Kioskas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";"6063819";"584418";"25.309820";"54.703680";"23";"44";"13"
"2273134";"Limada";"003V00";"2001-01-02";;"Viršuliškių g. 40";"";"Kavinė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6064224";"579095";"25.227360";"54.708190";"619";"40";"9"
"2241178";"S. B. Jurevičienės";"047V00";"2001-01-20";;"Basanavičiaus g. 53";"";"Kavinė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";;;;;;;
"123586032";"Oreita";"069P00";"2001-02-01";;"Šeškinės g. 22a";"";"Parduotuvė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6065082";"580522";"25.249730";"54.715670";"653";"22";"5"
"120864074";"Tarptautinis Vilniaus oro uostas";"051V00";"2001-01-22";;"Rodūnios kelias 2, Vilnius";"Rodūnios kelias 2, Vilnius";"Baras svarbių asmenų kategorijos keleivių aptarnavimo salėje";"mažmeninė prekyba alkoholiniais gėrimais";"";"I-VII";"00:00";"24:00:00";"";"";"";;;;;;;
"6998521";"Plungės kooperatinė prekyba";"110V00";"2001-02-08";;"Antakalnio g. 44";"";"Greitojo maitinimo kavinė Katpėdėlė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6063819";"584418";"25.309820";"54.703680";"23";"44";"13"
"120916941";"Lauvita";"111V00";"2001-02-08";;"Savanorių pr. 178, Vilnius";"Savanorių pr. 178, Vilnius";"Kavinė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6057976";"578847";"25.221830";"54.652100";"487";"178";"18"
"125408936";"Pietryčių srautas";"122V00";"2001-02-15";;"Vilniaus g. 41";"";"Kavinė Balti drambliai";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6060162";"570467";"25.092520";"54.672980";"505";"41";"21"
"1074499";"Lichua";"059V00";"2001-01-18";;"Nemenčinės pl. 13a";"";"Restoranas viešbutyje Saulės žiedas";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6066672";"585667";"25.330030";"54.729100";"369";"13";"13"
"122336321";"N. Kalnickajos";"060K00";"2001-01-31";;"Laisvės pr. 40, Vilnius";"Laisvės pr. 40, Vilnius";"Paviljonas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";"6062976";"578629";"25.219790";"54.697050";"272";"40";"10"
"122336321";"N. Kalnickajos";"061K00";"2001-01-31";;"Pylimo g. prie namo Nr. 21";"Pylimo g. prie namo Nr. 21";"Kioskas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
"120275396";"Ervin";"063K00";"2001-01-31";;"Pramonės g. 10c";"Pramonės g. 10c";"Kioskas degalinės patalpose";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";"6062895";"591247";"25.415450";"54.694190";"430";"10";"14"
"2075824";"Laimos smuklė";"064V00";"2001-01-20";;"H. Manto g. 6/48";"";"Kavinė Viltis";"mažmeninė prekyba alkoholiniais gėrimais";"";"I-VII";"00:00";"24:00:00";"";"";"";"6063502";"582832";"25.285130";"54.701100";"166";"6";"3"
"2468211";"V. Globio";"065K00";"2001-01-31";;"Prie parduotuvės Eko Šeškinės 62";"Prie parduotuvės Eko";"Kioskas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
"2413012";"Karolinos kėgliai";"067V00";"2001-01-19";;"Sausio 13-osios g. 2";"";"Baras Karolinos kėglial";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6062506";"578702";"25.220800";"54.692820";"736";"2";"10"
"2503946";"Irinos Boldyrevos";"078V00";"2001-01-24";;"Mūrinės Vokės g. 7";"";"Kavinė - baras";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6057465";"571959";"25.114980";"54.648540";"1926";"7";"20"
"125284456";"Lugrina";"080V00";"2001-01-26";;"Graužados g. 1";"";"Baras Lugrina";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6061290";"591620";"25.420730";"54.679710";"951";"1";"14"
"125416121";"Bingesa";"083V00";"2001-01-26";;"Žirmūnų g. 106A";"";"Kavinė Malibu";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6066318";"583704";"25.299460";"54.726250";"694";"106";"2"
"125416121";"Bingesa";"084V00";"2001-01-26";;"Žirmūnų g. 106A";"";"Kavinė Malibu";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6066318";"583704";"25.299460";"54.726250";"694";"106";"2"
"124649521";"Rinno";"085V00";"2001-01-26";;"Vingrių g. 25";"Vingrių g. 25";"Baras viešbutyje Rinno, minibarai kambariuose Nr. 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6060859";"582486";"25.279010";"54.677420";"618";"25";"16"
"2318217";"A. Ovsiukaitės  Aleftina";"087V00";"2001-02-01";;"Skroblų g. 31";"";"Kavinė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6059668";"580803";"25.252590";"54.666990";"496";"31";"18"
"121045334";"MAŽOJI RAGAINĖ";"093V00";"2001-02-01";;"Įsruties g. 22, Vilnius";"";"Kavinė - baras Mažoji Ragainė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6064193";"576206";"25.182530";"54.708350";"643";"22";"12"
"220087840";"LAK GKF";"072P00";"2001-02-05";;"A. Kojelavičiaus g. 156";"";"Parduotuvė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6062960";"590213";"25.399440";"54.694960";"136";"156";"14"
"121474216";"Lazdynų žibutė";"075P00";"2001-02-08";;"Šiltnamių g. 38";"";"Parduotuvė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6059743";"578491";"25.216780";"54.668030";"662";"38";"11"
"2530164";"Aleksandro Dulkės";"078P00";"2001-03-01";;"Darbo g. 2a";"";"Parduotuvė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";;;;;;;
